predicted_phred,program,nfrags,fraglen,qual_shift,n_matches,n_mismatches,n_total,observed_phred_mean,observed_phred_lower,observed_phred_higher,alpha
2,ClipAndMerge,100000000,120,0,39393,67630,107023,1.9933773324751054,1.9673577074193154,2.0195537874288543,0.01
13,ClipAndMerge,100000000,120,0,666654,35333,701987,12.981485561569032,12.923873547389881,13.039872123332097,0.01
14,ClipAndMerge,100000000,120,0,11295180,467731,11762911,14.005186563166895,13.989187583314653,14.021244699675455,0.01
15,ClipAndMerge,100000000,120,0,13467045,441946,13908991,14.979264186022379,14.962737775098468,14.995853725974591,0.01
16,ClipAndMerge,100000000,120,0,35352182,908313,36260495,16.011981984867848,16.000407650388247,16.023587248426097,0.01
18,ClipAndMerge,100000000,120,0,3027841,48783,3076624,17.998059190116248,17.948102205580835,18.048597524649278,0.01
21,ClipAndMerge,100000000,120,0,227069,2921,229990,18.961773962647666,18.760830379755525,19.17246796360731,0.01
22,ClipAndMerge,100000000,120,0,73264,482,73746,21.84691430817599,21.36660900872385,22.387020851924646,0.01
23,ClipAndMerge,100000000,120,0,909961,6017,915978,21.825050313974383,21.68363696737113,21.97122373976519,0.01
24,ClipAndMerge,100000000,120,0,2917256,11966,2929222,23.888032887513305,23.78715766745714,23.991307004925506,0.01
25,ClipAndMerge,100000000,120,0,10793367,34146,10827513,25.011888778437488,24.95186258250901,25.072756270569517,0.01
26,ClipAndMerge,100000000,120,0,4751708,12304,4764012,25.87926524292767,25.77969520671397,25.981171779573828,0.01
27,ClipAndMerge,100000000,120,0,10471652,21269,10492921,26.931493318689938,26.855533533261024,27.008805356665526,0.01
28,ClipAndMerge,100000000,120,0,10412892,17247,10430139,27.815765328394875,27.73147765936306,27.901721279896783,0.01
29,ClipAndMerge,100000000,120,0,16308009,20756,16328765,28.95809676788012,28.88118336680246,29.03639689843314,0.01
30,ClipAndMerge,100000000,120,0,3402646,3439,3406085,29.95823305905081,29.771636885542577,30.153207735754076,0.01
31,ClipAndMerge,100000000,120,0,17354593,14349,17368942,30.829517293404514,30.73715708323474,30.92388446140329,0.01
32,ClipAndMerge,100000000,120,0,11755552,7366,11762918,32.032833550189004,31.904448502620106,32.165129799869604,0.01
33,ClipAndMerge,100000000,120,0,64321601,33065,64354666,32.89211513626802,32.83104226925791,32.95405910786981,0.01
34,ClipAndMerge,100000000,120,0,122218127,54441,122272568,33.51402939520197,33.46635821545413,33.562229659915424,0.01
35,ClipAndMerge,100000000,120,0,34174729,17703,34192432,32.85883122535238,32.77557892634001,32.94371067606232,0.01
36,ClipAndMerge,100000000,120,0,58916932,20608,58937540,34.563561591507565,34.4863396512754,34.64218151071722,0.01
37,ClipAndMerge,100000000,120,0,93470787,22885,93493672,36.11231300435573,36.038996493118965,36.1868885111107,0.01
38,ClipAndMerge,100000000,120,0,2964361314,538106,2964899420,37.411421305746806,37.39619948000317,37.42669667101184,0.01
