predicted_phred,program,nfrags,fraglen,qual_shift,observed_phred,n_matches,n_mismatches,n_total,observed_phred_unrounded
2,ClipAndMerge,10000000,120,0,2,3905,6783,10688,1.974746280664483
13,ClipAndMerge,10000000,120,0,13,67851,3570,71421,13.01157710554448
14,ClipAndMerge,10000000,120,0,14,1224648,50860,1275508,13.993068310143585
15,ClipAndMerge,10000000,120,0,15,1650538,53620,1704158,15.02183048006285
16,ClipAndMerge,10000000,120,0,16,4600203,119050,4719253,15.981438608312558
18,ClipAndMerge,10000000,120,0,18,375431,6074,381505,17.980254466042748
21,ClipAndMerge,10000000,120,0,21,71728,573,72301,21.009896821249075
22,ClipAndMerge,10000000,120,0,22,16991,110,17101,21.916288218294685
23,ClipAndMerge,10000000,120,0,23,249339,1227,250566,23.10077577298405
24,ClipAndMerge,10000000,120,0,24,441143,1825,442968,23.851094851385138
25,ClipAndMerge,10000000,120,0,25,1584339,5041,1589380,24.98711046322448
26,ClipAndMerge,10000000,120,0,26,740959,1815,742774,26.11980063953348
27,ClipAndMerge,10000000,120,0,27,1630799,3268,1634067,26.98987811639413
28,ClipAndMerge,10000000,120,0,28,1673011,2664,1675675,27.986555698142173
29,ClipAndMerge,10000000,120,0,29,2729242,3438,2732680,29.00282905931121
30,ClipAndMerge,10000000,120,0,30,532072,509,532581,30.196678864459543
31,ClipAndMerge,10000000,120,0,31,3087164,2436,3089600,31.03224972474482
32,ClipAndMerge,10000000,120,0,32,1864898,1198,1866096,31.924771639069363
33,ClipAndMerge,10000000,120,0,33,10799155,5361,10804516,33.04359509737849
34,ClipAndMerge,10000000,120,0,34,22420727,8930,22429657,33.99971173403905
35,ClipAndMerge,10000000,120,0,35,8962104,2842,8964946,34.989236043588804
36,ClipAndMerge,10000000,120,0,36,14801337,3703,14805040,36.018558730467504
37,ClipAndMerge,10000000,120,0,37,23441790,4665,23446455,37.01225540532726
38,ClipAndMerge,10000000,120,0,38,1041635813,164091,1041799904,38.02699551387474
0,ClipAndMerge,10000000,120,-10,0,0,10688,10688,0.0
3,ClipAndMerge,10000000,120,-10,3,35265,35263,70528,3.0104231135816732
4,ClipAndMerge,10000000,120,-10,4,767027,505808,1272835,4.00786414905142
5,ClipAndMerge,10000000,120,-10,5,1157826,535290,1693116,5.000975836258244
6,ClipAndMerge,10000000,120,-10,6,3529408,1184268,4713676,5.999097330721605
8,ClipAndMerge,10000000,120,-10,8,321908,59905,381813,8.043876387005483
11,ClipAndMerge,10000000,120,-10,11,66435,5794,72229,10.95733111290233
12,ClipAndMerge,10000000,120,-10,12,16191,1069,17260,12.080630861704126
13,ClipAndMerge,10000000,120,-10,13,236387,12742,249129,12.911866840241633
14,ClipAndMerge,10000000,120,-10,14,422917,17565,440482,13.992800118313813
15,ClipAndMerge,10000000,120,-10,15,1537718,50143,1587861,15.006021682298032
16,ClipAndMerge,10000000,120,-10,16,721542,18627,740169,15.991879773108904
