,program,nfrags,fraglen,qual_shift,alpha,predicted_phred,predicted_error,n_matches,n_mismatches,n_total,p_mismatch,p_mismatch_lower,p_mismatch_upper,observed_phred,observed_phred_lower,observed_phred_upper
0,leeHom,100000000,120,0,0.01,2,0.6309573444801932,5,13,18,0.7222222222222222,0.3945201929258584,0.9345558417461635,1.4132915279646932,0.29394743469037415,4.0393076317233385
1,leeHom,100000000,120,0,0.01,3,0.5011872336272722,1395332,1375176,2770508,0.4963623999641943,0.4955884847813674,0.49713632764193694,3.0420112424531247,3.0352450015212757,3.048787932039842
2,leeHom,100000000,120,0,0.01,4,0.3981071705534972,753146,544880,1298026,0.41977587505951347,0.41865999676220356,0.4208923415989708,3.7698252437580764,3.758289764414914,3.7813853424948234
3,leeHom,100000000,120,0,0.01,5,0.31622776601683794,593182,263026,856208,0.30719871806850674,0.3059149824187414,0.3084845972562028,5.125806009352369,5.107665155647256,5.1439925259216
4,leeHom,100000000,120,0,0.01,6,0.251188643150958,272490,86170,358660,0.24025539508169297,0.23841987847804502,0.24209780846241402,6.1932685120197215,6.160091418965089,6.226575377178051
5,leeHom,100000000,120,0,0.01,7,0.19952623149688797,91137,22728,113865,0.19960479515215387,0.196561891664922,0.20267284585551748,6.998290297665544,6.932044342624989,7.065006769610033
6,leeHom,100000000,120,0,0.01,8,0.15848931924611134,209960,41974,251934,0.16660712726348964,0.16469920185097908,0.16852765989968999,7.783064239076447,7.733288095940574,7.833085054602118
7,leeHom,100000000,120,0,0.01,9,0.12589254117941673,110153,17503,127656,0.13711067243216143,0.13464056330522256,0.13960788381368228,8.629287392440206,8.55090055924168,8.708240800399716
8,leeHom,100000000,120,0,0.01,10,0.1,687125,77828,764953,0.10174219854030248,0.1008536946529146,0.10263566033884308,9.924988819631142,9.887017191695431,9.963081873076133
9,leeHom,100000000,120,0,0.01,11,0.07943282347242814,435020,34321,469341,0.07312593615303159,0.07215034594203895,0.07411019185868761,11.359285610671181,11.301220624171968,11.417615822370372
10,leeHom,100000000,120,0,0.01,12,0.06309573444801933,331801,20899,352700,0.059254323787921746,0.05823483259285345,0.06028572582144709,12.272799536938546,12.197855059498997,12.34817168653362
11,leeHom,100000000,120,0,0.01,13,0.05011872336272722,651719,32623,684342,0.04767060913987451,0.04700958835311564,0.04833792748376997,13.21749298578601,13.157119741529826,13.278135517633132
12,leeHom,100000000,120,0,0.01,14,0.039810717055349734,353461,13981,367442,0.038049542512831956,0.03724119896647027,0.038869873888321416,14.196505605845267,14.103868684167132,14.28976345517226
13,leeHom,100000000,120,0,0.01,15,0.03162277660168379,452459,14092,466551,0.0302046292902598,0.02956292813017891,0.030855931883341015,15.19926490117681,15.1066133287684,15.292525524220327
14,leeHom,100000000,120,0,0.01,16,0.025118864315095794,201805,4910,206715,0.02375250949374743,0.022898348840518334,0.024628672546664787,16.242904996512372,16.08558995436359,16.401958327389345
15,leeHom,100000000,120,0,0.01,17,0.0199526231496888,391576,7923,399499,0.019832340005857336,0.0192686158515204,0.02040753324814104,17.026260406269895,16.902094872713977,17.1514948148555
16,leeHom,100000000,120,0,0.01,18,0.015848931924611134,687455,10723,698178,0.015358547533723491,0.014982039733740238,0.01574167626198908,18.136498538302593,18.029490234019605,18.24429055474777
17,leeHom,100000000,120,0,0.01,19,0.012589254117941675,1155472,14383,1169855,0.0122946860935757,0.012033806347731324,0.012559540810332392,19.10282555137403,19.010262385593567,19.195969816085636
18,leeHom,100000000,120,0,0.01,20,0.01,1504049,14837,1518886,0.0097683433779757,0.009563992356302231,0.009975771690411306,20.101790824232317,20.010534988568157,20.193607796513156
19,leeHom,100000000,120,0,0.01,21,0.007943282347242814,1451282,11229,1462511,0.007677890969708946,0.007493235588443725,0.007865756943754576,21.147580593962605,21.04259477658927,21.25330612904008
20,leeHom,100000000,120,0,0.01,22,0.00630957344480193,8902091,55753,8957844,0.006223930669031521,0.006156452147752622,0.00629193418113827,22.059352537794116,22.012158291062782,22.106694918192833
21,leeHom,100000000,120,0,0.01,23,0.005011872336272725,8384025,41767,8425792,0.004957041427084837,0.004894939221532835,0.005019703305156553,23.047774515852332,22.993219515285336,23.102526962851087
22,leeHom,100000000,120,0,0.01,24,0.003981071705534973,6315725,24697,6340422,0.0038951665993209915,0.003831740294517938,0.003959338543992108,24.094739624796134,24.0237736222818,24.166039339567384
23,leeHom,100000000,120,0,0.01,25,0.0031622776601683794,2731215,8641,2739856,0.0031538153829982307,0.003067241608646465,0.0032421192970695234,25.011637328497947,24.891710088873225,25.1325201300703
24,leeHom,100000000,120,0,0.01,26,0.0025118864315095794,7727,19,7746,0.0024528789052414147,0.00124576073014393,0.004305704719530734,26.103238916972348,23.659557569267324,29.045653634206182
25,leeHom,100000000,120,0,0.01,27,0.001995262314968879,10020,23,10043,0.0022901523449168574,0.0012472947799443412,0.003829006778196975,26.40135626674931,24.169138648534254,29.040308952191104
26,leeHom,100000000,120,0,0.01,28,0.001584893192461114,10369,17,10386,0.0016368187945310995,0.0007946963546167085,0.002962656333746261,27.859993968807636,25.283187234824428,30.997987791480483
27,leeHom,100000000,120,0,0.01,29,0.0012589254117941675,4618,3,4621,0.0006492101276779918,7.312793088176672e-05,0.0023735135330965607,31.876147137990426,26.24608287715411,41.35916714547089
28,leeHom,100000000,120,0,0.01,30,0.001,14168,20,14188,0.00140964195094446,0.0007299425067121001,0.002442210208803197,28.508911841359243,26.122169576744106,31.367113453603483
29,leeHom,100000000,120,0,0.01,31,0.0007943282347242813,485496,366,485862,0.0007533003198439063,0.0006557742739627948,0.0008607376477836048,31.230318481702106,30.651292010228378,31.832456247132363
30,leeHom,100000000,120,0,0.01,32,0.000630957344480193,1302031,746,1302777,0.0005726229431437614,0.000520075885595217,0.0006288526747950662,32.42131255194762,32.01451087492336,32.83933282729154
31,leeHom,100000000,120,0,0.01,33,0.0005011872336272725,4107079,1836,4108915,0.0004468332881064709,0.00042043478466913253,0.00047439564118423316,33.49854480358491,33.23859309985977,33.763013598062315
32,leeHom,100000000,120,0,0.01,34,0.00039810717055349735,5037610,1760,5039370,0.0003492500054570313,0.0003281826825086709,0.00037126659875896806,34.568635784279294,34.30314120601929,34.8388433946011
33,leeHom,100000000,120,0,0.01,35,0.00031622776601683794,444869,138,445007,0.00031010748145534787,0.0002463404564461147,0.0003847959404797985,35.084877561245555,34.14769518329969,36.08464258203665
34,leeHom,100000000,120,0,0.01,36,0.00025118864315095795,6740284,1808,6742092,0.0002681660232461972,0.00025220161425731913,0.00028484001858020136,35.71596248301872,35.45398994573076,35.98252137981802
35,leeHom,100000000,120,0,0.01,37,0.00019952623149688788,4406964,924,4407888,0.00020962420097788329,0.00019228885958921804,0.00022804770797602014,36.785585797779035,36.41974288335865,37.1604587623515
36,leeHom,100000000,120,0,0.01,38,0.00015848931924611142,533418,87,533505,0.00016307251103551046,0.0001215624953319061,0.00021374474733681925,37.87619241361615,36.701045490239494,39.15200393671442
